"","call_detail","call_group","call_source","civil_age","civil_age_f","civil_drug","civil_etoh","civil_id","civil_instance","civil_mental","civil_race","civil_sex","civil_transient","force1","force2","force3","force4","force5","force6","force7","force8","force1_any","force2_any","force3_any","force4_any","force5_any","force6_any","force7_any","force8_any","force_officer_sum","incid_force_lev","incid_force_calc","incid_day","incid_disp","incid_id","incid_month","incid_sixhour","incid_year","officer_id","officer_precinct","officer_precinct_collapsed","officer_tenure","officer_tenure_f","resist1","resist2","resist3","resist4","resist5","resist6","resist7","resist8","threat_biohaz","threat_blunt","threat_gun","threat_gun_implied","threat_gun_replica","threat_knife","threat_other","threat_unused_weapon","threat_unarmed","threat_sum","recordcount_1","recordcount_2"
"1078","DISTURBANCE - PRIORITY","Disturbance","Self-Initiated",22,"15-24","1","1",4040629,643578033,"0","Hispanic","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Misdemeanor",639537404,"May","0000-0559",2019,751121,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1079","TRAFFIC STOP","Traffic Stop","Self-Initiated",22,"15-24","0","1",470494,569007467,"0","Black","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Arrest-Felony",568536973,"April","0000-0559",2019,132261,"Central Precinct","Central Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"1080","ACCIDENT - UNKNOWN INJURY","Collision","Dispatched",22,"15-24","1","1",3468535,741016360,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Felony",737547825,"July","1200-1759",2020,902731,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1081","ACCIDENT - HIT & RUN - PRIORITY","Collision","Dispatched",22,"15-24","1","0",442282,893989798,"0","Black","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Cited",893547516,"June","0600-1159",2020,923231,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1082","PERSON CONTACT (86)","Subject Stop","Self-Initiated",22,"15-24","0","0",1543613,907081539,"1","Black","Male","No","Resisted HC","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Friday","Arrest-Misdemeanor",905537926,"July","0000-0559",2019,777121,"East Precinct","East Precinct",2,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1083","PERSON CONTACT (86)","Subject Stop","Self-Initiated",22,"15-24","0","0",1543613,907081539,"1","Black","Male","No","Resisted HC","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Friday","Arrest-Misdemeanor",905537926,"July","0000-0559",2019,562201,"East Precinct","East Precinct",2,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1084","PERSON CONTACT (86)","Subject Stop","Self-Initiated",22,"15-24","0","0",1543613,907081539,"1","Black","Male","No","Takedown (IV)","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Friday","Arrest-Misdemeanor",905537926,"July","0000-0559",2019,1085151,"East Precinct","East Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1085","ECIT","Behavioral Health","Dispatched",22,"15-24","0","0",4066391,650614655,"0","White","Female","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Friday","Cite and Release",646548264,"August","1200-1759",2020,438291,"Central Precinct","Central Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1086","ECIT","Behavioral Health","Dispatched",22,"15-24","0","0",4099232,30645920,"1","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Release to Medical",26546688,"March","1200-1759",2020,495291,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1087","ECIT","Behavioral Health","Dispatched",22,"15-24","0","0",4099232,30645920,"1","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Release to Medical",26546688,"March","1200-1759",2020,843231,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1088","TRIMET INCIDENT - PRIORITY","TriMet","Dispatched",22,"15-24","0","1",3467480,326005891,"0","Native American","Female","No","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Saturday","Arrest-Misdemeanor",322538411,"August","1800-2359",2019,752121,"Central Precinct","Central Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1089","TRAFFIC STOP","Traffic Stop","Self-Initiated",23,"15-24","0","0",631062,357180543,"0","White","Male","No","Ram - VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Saturday","Arrest-Felony",356549481,"December","1800-2359",2020,490391,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1090","DISTURBANCE - PRIORITY","Disturbance","Dispatched",23,"15-24","0","1",621773,669160267,"0","Black","Male","No","Resisted HC","Control Against Resistance","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,1,1,1,1,0,0,0,0,4,"II","3","Saturday","Arrest-Misdemeanor",668538494,"August","0000-0559",2019,406181,"East Precinct","East Precinct",2,"[0-2]","Aggressive","Active","Active","Active",NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1091","DISTURBANCE - PRIORITY","Disturbance","Dispatched",23,"15-24","0","1",621773,669160267,"0","Black","Male","No","Takedown (II and III)","Control Against Resistance","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,1,1,1,1,0,0,0,0,4,"II","3","Saturday","Arrest-Misdemeanor",668538494,"August","0000-0559",2019,751121,"East Precinct","East Precinct",2,"[0-2]","Aggressive","Active","Active","Active",NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1092","PERSON CONTACT (86)","Subject Stop","Self-Initiated",23,"15-24","0","0",4058786,958597033,"0","White","Male","Yes","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Misdemeanor",954538247,"July","1800-2359",2019,269171,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1093","UNWANTED PERSON","Unwanted Person","Dispatched",23,"15-24","1","0",591618,404129199,"0","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Saturday","Arrest-Felony",403537581,"June","1200-1759",2019,276171,"East Precinct","East Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1094","DISTURBANCE - PRIORITY","Disturbance","Dispatched",23,"15-24","0","1",609613,29167031,"0","Black","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Misdemeanor",28557418,"June","0000-0559",2021,616401,"East Precinct","East Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"1095","DETAIL","Other","Dispatched",23,"15-24","1","1",4155942,767713987,"1","White","Male","No","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Wednesday","Release to Medical",763558045,"August","1800-2359",2021,858532,"Central Precinct","Central Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1096","DETAIL","Other","Dispatched",23,"15-24","1","1",4155942,767713987,"1","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Release to Medical",763558045,"August","1800-2359",2021,279472,"North Precinct","North Precinct",2,"[0-2]","Active","None",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1097","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",23,"15-24","1","0",759890,235295680,"1","Black","Female","No","Takedown (IV)","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Thursday","Release to Medical",234535790,"January","1200-1759",2019,677011,"Central Precinct","Central Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1098","ACCIDENT - UNKNOWN INJURY","Collision","Dispatched",23,"15-24","0","1",1970175,847526321,"0","White","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",845556146,"February","1800-2359",2021,981341,"Central Precinct","Central Precinct",2,"[0-2]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1099","TRAFFIC STOP","Traffic Stop","Self-Initiated",23,"15-24","0","0",4036374,54576322,"0","White","Female","No","Resisted HC","Resisted HC","Takedown (IV)",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Saturday","Arrest-Misdemeanor",50539948,"December","0000-0559",2019,1087151,"North Precinct","North Precinct",2,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1100","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",24,"15-24","1","0",4098545,180638604,"0","White","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Monday","Arrest-Felony",176540059,"December","1200-1759",2019,673211,"Central Precinct","Central Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1101","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",24,"15-24","1","0",4098545,180638604,"0","White","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Monday","Arrest-Felony",176540059,"December","1200-1759",2019,703211,"Central Precinct","Central Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1102","ROBBERY - PRIORITY *H","Robbery","Dispatched",24,"15-24","0","0",4015895,362573806,"0","Black","Male","Yes","CEW","Strikes/kicks","Control Against Resistance","Strikes/kicks","Strikes/kicks",NA,NA,NA,1,1,1,1,1,0,0,0,5,"II","3","Thursday","Arrest-Felony",358557911,"August","1200-1759",2021,894431,"Central Precinct","Central Precinct",2,"[0-2]","Aggressive","Aggressive","Active","Active","Active",NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1103","DISTURBANCE - PRIORITY","Disturbance","Dispatched",24,"15-24","0","0",584892,109143190,"0","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Misdemeanor",108558298,"September","1800-2359",2021,954441,"Central Precinct","Central Precinct",2,"[0-2]","Aggressive","None","None",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1104","DISTURBANCE - COLD","Disturbance","Dispatched",24,"15-24","0","0",464449,824010665,"0","Hispanic","Male","No","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Warrant",823546216,"February","0000-0559",2020,506291,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1105","DISTURBANCE - PRIORITY","Disturbance","Dispatched",24,"15-24","1","0",2019808,290569278,"0","White","Male","No","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Friday","Arrest-Misdemeanor",288549470,"December","0600-1159",2020,490391,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1106","DISTURBANCE - PRIORITY","Disturbance","Dispatched",24,"15-24","0","0",3550405,897090501,"0","Native American","Male","Yes","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Friday","Arrest-Warrant",893540096,"December","1200-1759",2019,276171,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1107","ACCIDENT - UNKNOWN INJURY","Collision","Self-Initiated",24,"15-24","0","1",1573159,530111922,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Friday","Cite and Release",528538763,"September","1800-2359",2019,751121,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1108","ACCIDENT - UNKNOWN INJURY","Collision","Self-Initiated",24,"15-24","0","1",1573159,530111922,"0","White","Male","No","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Friday","Cite and Release",528538763,"September","1800-2359",2019,777121,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1109","THEFT - COLD","Theft","Dispatched",24,"15-24","1","0",424820,244982750,"0","Hispanic","Male","No","Takedown (II and III)","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Saturday","Arrest-Felony",244557930,"August","1200-1759",2021,170361,"North Precinct","North Precinct",2,"[0-2]","Aggressive","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1110","UNWANTED PERSON","Unwanted Person","Dispatched",24,"15-24","1","0",296127,627836001,"0","Black","Male","Yes","Control Against Resistance","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Saturday","Arrest-Warrant",627539874,"December","1200-1759",2019,598201,"North Precinct","North Precinct",2,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1111","DISTURBANCE - COLD","Disturbance","Self-Initiated",24,"15-24","0","1",4083648,462623030,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Misdemeanor",458539382,"October","0000-0559",2019,243171,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"1112","DISTURBANCE - COLD","Disturbance","Self-Initiated",24,"15-24","0","1",4083648,462623030,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Misdemeanor",458539382,"October","0000-0559",2019,372278,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"1113","DISTURBANCE - PRIORITY","Disturbance","Dispatched",24,"15-24","0","1",1642710,982200507,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Arrest-Misdemeanor",980557797,"August","0000-0559",2021,1031451,"East Precinct","East Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1114","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",24,"15-24","1","0",579446,819117702,"1","White","Male","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Monday","Arrest-Warrant",818538256,"July","1800-2359",2019,676211,"East Precinct","East Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1115","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",24,"15-24","1","0",579446,819117702,"1","White","Male","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Monday","Arrest-Warrant",818538256,"July","1800-2359",2019,902731,"East Precinct","East Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1116","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",24,"15-24","1","1",3957253,543493046,"0","White","Male","No","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Thursday","Arrest-Cited",539535793,"January","1800-2359",2019,132261,"Traffic","Traffic",2,"[0-2]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1117","VEHICLE RECOVERED","Stolen Vehicle","Dispatched",24,"15-24","1","1",579105,729135740,"0","White","Male","Yes","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Felony",728556635,"April","1800-2359",2021,313371,"North Precinct","North Precinct",2,"[0-2]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1118","SUICIDE ATTEMPT OR THREAT","Behavioral Health","Dispatched",24,"15-24","0","1",4178363,142734042,"1","Hispanic","Male","No","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Friday","Release to Medical",138555679,"January","0000-0559",2021,133361,"East Precinct","East Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1119","SUICIDE ATTEMPT OR THREAT","Behavioral Health","Dispatched",24,"15-24","0","1",4178363,142734042,"1","Hispanic","Male","No","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Friday","Release to Medical",138555679,"January","0000-0559",2021,506291,"East Precinct","East Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1120","ECIT","Behavioral Health","Dispatched",25,"25-34","0","1",3965681,676513635,"1","Hispanic","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Monday","Arrest-Felony",672547954,"July","1800-2359",2020,506291,"East Precinct","East Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,1,1,1
"1121","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",25,"25-34","1","0",4044435,553582008,"0","Black","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Friday","Arrest-Felony",549537573,"June","1800-2359",2019,215161,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1122","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",25,"25-34","1","0",4044435,553582008,"0","Black","Female","No","Less Lethal","Less Lethal","CEW","Control Against Resistance",NA,NA,NA,NA,1,1,1,1,0,0,0,0,4,"II","3","Friday","Arrest-Felony",549537573,"June","1800-2359",2019,1047151,"Central Precinct","Central Precinct",2,"[0-2]","Aggressive","Aggressive","Aggressive","Active",NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1123","PERSON CONTACT (86)","Subject Stop","Self-Initiated",25,"25-34","1","0",593947,777133162,"0","Hispanic","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Misdemeanor",776539215,"October","0600-1159",2019,997941,"East Precinct","East Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1124","UNWANTED PERSON","Unwanted Person","Dispatched",25,"25-34","1","0",387912,37928040,"0","Black","Male","No","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Monday","Arrest-Felony",37540128,"December","0600-1159",2019,214161,"North Precinct","North Precinct",2,"[0-2]","Aggressive","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,1,1
"1125","MEDICAL ASSIST","Assist","Dispatched",25,"25-34","1","0",3689264,644226518,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Arrest-Warrant",640537254,"May","0600-1159",2019,430191,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1126","THEFT - PRIORITY","Theft","Dispatched",25,"25-34","1","0",494769,251052659,"0","Black","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Arrest-Warrant",250557890,"August","1200-1759",2021,491391,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1127","UNWANTED PERSON","Unwanted Person","Dispatched",25,"25-34","0","1",4092389,459632171,"0","White","Male","No","Control Against Resistance","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Friday","Arrest-Misdemeanor",455539782,"November","1800-2359",2019,843231,"Central Precinct","Central Precinct",2,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1128","SUBJECT STOP - SDC","Subject Stop","Self-Initiated",25,"25-34","0","0",487205,114024244,"0","White","Female","No","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Saturday","Arrest-Felony",113537039,"April","0600-1159",2019,431191,"Central Precinct","Central Precinct",2,"[0-2]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"1129","PERSON CONTACT (86)","Subject Stop","Self-Initiated",25,"25-34","0","0",296127,39843995,"0","Black","Male","Yes","Control Against Resistance","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Saturday","Arrest-Warrant",39547868,"July","1800-2359",2020,702211,"East Precinct","East Precinct",2,"[0-2]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1130","DISTURBANCE - PRIORITY","Disturbance","Dispatched",25,"25-34","1","0",4110764,423656886,"0","Hispanic","Male","No","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Saturday","Release to Medical",419546122,"February","0000-0559",2020,933241,"Central Precinct","Central Precinct",2,"[0-2]","Aggressive","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1131","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",25,"25-34","1","0",3787484,666336388,"1","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Release to Medical",662548904,"October","1200-1759",2020,438291,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1132","DISTURBANCE - PRIORITY","Disturbance","Dispatched",25,"25-34","1","0",384263,508921875,"0","Black","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Felony",508537612,"June","0600-1159",2019,341081,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1133","DISTURBANCE - PRIORITY","Disturbance","Dispatched",25,"25-34","0","0",384263,508921875,"0","Black","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Felony",508537612,"June","0600-1159",2019,430191,"Central Precinct","Central Precinct",2,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1134","PERSON CONTACT (86)","Subject Stop","Self-Initiated",25,"25-34","1","0",3591102,343128913,"0","White","Male","Yes","Control Against Resistance","Takedown (IV)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Wednesday","Arrest-Misdemeanor",339537811,"June","1200-1759",2019,672111,"North Precinct","North Precinct",2,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"1135","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",25,"25-34","0","0",537630,316083821,"0","Black","Female","Yes","Control Against Resistance","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Thursday","Arrest-Warrant",315546191,"February","1800-2359",2020,239271,"East Precinct","East Precinct",2,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"1136","ASSAULT - PRIORITY","Assault","Dispatched",25,"25-34","0","1",259081,840805117,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",840546036,"January","1800-2359",2020,239271,"East Precinct","East Precinct",2,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
